2021-07-23 13:49:20 install libbz2-1.0:amd64 <none> 1.0.6-8.1
2021-07-23 13:49:20 status half-installed libbz2-1.0:amd64 1.0.6-8.1
2021-07-23 13:49:20 status unpacked libbz2-1.0:amd64 1.0.6-8.1
2021-07-23 13:49:20 status unpacked libbz2-1.0:amd64 1.0.6-8.1
2021-07-23 13:49:20 install libc-bin:amd64 <none> 2.27-3ubuntu1
2021-07-23 13:49:20 status half-installed libc-bin:amd64 2.27-3ubuntu1
2021-07-23 13:49:20 status unpacked libc-bin:amd64 2.27-3ubuntu1
2021-07-23 13:49:20 status unpacked libc-bin:amd64 2.27-3ubuntu1
2021-07-23 13:49:20 upgrade libc6:amd64 2.27-3ubuntu1 2.27-3ubuntu1
2021-07-23 13:49:20 status half-configured libc6:amd64 2.27-3ubuntu1
2021-07-23 13:49:20 status unpacked libc6:amd64 2.27-3ubuntu1
2021-07-23 13:49:20 status half-installed libc6:amd64 2.27-3ubuntu1
2021-07-23 13:49:21 status half-installed libc6:amd64 2.27-3ubuntu1
2021-07-23 13:49:21 status unpacked libc6:amd64 2.27-3ubuntu1
2021-07-23 13:49:21 status unpacked libc6:amd64 2.27-3ubuntu1
2021-07-23 13:49:21 install libcap-ng0:amd64 <none> 0.7.7-3.1
2021-07-23 13:49:21 status half-installed libcap-ng0:amd64 0.7.7-3.1
2021-07-23 13:49:21 status unpacked libcap-ng0:amd64 0.7.7-3.1
2021-07-23 13:49:21 status unpacked libcap-ng0:amd64 0.7.7-3.1
2021-07-23 13:49:21 install libcom-err2:amd64 <none> 1.44.1-1
2021-07-23 13:49:21 status half-installed libcom-err2:amd64 1.44.1-1
2021-07-23 13:49:21 status unpacked libcom-err2:amd64 1.44.1-1
2021-07-23 13:49:21 status unpacked libcom-err2:amd64 1.44.1-1
2021-07-23 13:49:21 install libdb5.3:amd64 <none> 5.3.28-13.1ubuntu1
2021-07-23 13:49:21 status half-installed libdb5.3:amd64 5.3.28-13.1ubuntu1
2021-07-23 13:49:21 status unpacked libdb5.3:amd64 5.3.28-13.1ubuntu1
2021-07-23 13:49:21 status unpacked libdb5.3:amd64 5.3.28-13.1ubuntu1
2021-07-23 13:49:21 install libdebconfclient0:amd64 <none> 0.213ubuntu1
2021-07-23 13:49:21 status half-installed libdebconfclient0:amd64 0.213ubuntu1
2021-07-23 13:49:21 status unpacked libdebconfclient0:amd64 0.213ubuntu1
2021-07-23 13:49:21 status unpacked libdebconfclient0:amd64 0.213ubuntu1
2021-07-23 13:49:21 install libext2fs2:amd64 <none> 1.44.1-1
2021-07-23 13:49:21 status half-installed libext2fs2:amd64 1.44.1-1
2021-07-23 13:49:21 status unpacked libext2fs2:amd64 1.44.1-1
2021-07-23 13:49:21 status unpacked libext2fs2:amd64 1.44.1-1
2021-07-23 13:49:21 install libfdisk1:amd64 <none> 2.31.1-0.4ubuntu3
2021-07-23 13:49:21 status half-installed libfdisk1:amd64 2.31.1-0.4ubuntu3
2021-07-23 13:49:21 status unpacked libfdisk1:amd64 2.31.1-0.4ubuntu3
2021-07-23 13:49:21 status unpacked libfdisk1:amd64 2.31.1-0.4ubuntu3
2021-07-23 13:49:21 install libgcc1:amd64 <none> 1:8-20180414-1ubuntu2
2021-07-23 13:49:21 status half-installed libgcc1:amd64 1:8-20180414-1ubuntu2
2021-07-23 13:49:21 status unpacked libgcc1:amd64 1:8-20180414-1ubuntu2
2021-07-23 13:49:21 status unpacked libgcc1:amd64 1:8-20180414-1ubuntu2
2021-07-23 13:49:21 install libgcrypt20:amd64 <none> 1.8.1-4ubuntu1
2021-07-23 13:49:21 status half-installed libgcrypt20:amd64 1.8.1-4ubuntu1
2021-07-23 13:49:21 status unpacked libgcrypt20:amd64 1.8.1-4ubuntu1
2021-07-23 13:49:21 status unpacked libgcrypt20:amd64 1.8.1-4ubuntu1
2021-07-23 13:49:21 install libgpg-error0:amd64 <none> 1.27-6
2021-07-23 13:49:21 status half-installed libgpg-error0:amd64 1.27-6
2021-07-23 13:49:21 status unpacked libgpg-error0:amd64 1.27-6
2021-07-23 13:49:21 status unpacked libgpg-error0:amd64 1.27-6
2021-07-23 13:49:21 install liblz4-1:amd64 <none> 0.0~r131-2ubuntu3
2021-07-23 13:49:21 status half-installed liblz4-1:amd64 0.0~r131-2ubuntu3
2021-07-23 13:49:21 status unpacked liblz4-1:amd64 0.0~r131-2ubuntu3
2021-07-23 13:49:21 status unpacked liblz4-1:amd64 0.0~r131-2ubuntu3
2021-07-23 13:49:21 install liblzma5:amd64 <none> 5.2.2-1.3
2021-07-23 13:49:21 status half-installed liblzma5:amd64 5.2.2-1.3
2021-07-23 13:49:21 status unpacked liblzma5:amd64 5.2.2-1.3
2021-07-23 13:49:21 status unpacked liblzma5:amd64 5.2.2-1.3
2021-07-23 13:49:21 install libmount1:amd64 <none> 2.31.1-0.4ubuntu3
2021-07-23 13:49:21 status half-installed libmount1:amd64 2.31.1-0.4ubuntu3
2021-07-23 13:49:21 status unpacked libmount1:amd64 2.31.1-0.4ubuntu3
2021-07-23 13:49:21 status unpacked libmount1:amd64 2.31.1-0.4ubuntu3
2021-07-23 13:49:21 install libncurses5:amd64 <none> 6.1-1ubuntu1
2021-07-23 13:49:21 status half-installed libncurses5:amd64 6.1-1ubuntu1
2021-07-23 13:49:21 status unpacked libncurses5:amd64 6.1-1ubuntu1
2021-07-23 13:49:21 status unpacked libncurses5:amd64 6.1-1ubuntu1
2021-07-23 13:49:21 install libncursesw5:amd64 <none> 6.1-1ubuntu1
2021-07-23 13:49:21 status half-installed libncursesw5:amd64 6.1-1ubuntu1
2021-07-23 13:49:21 status unpacked libncursesw5:amd64 6.1-1ubuntu1
